room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
15549544,1438,99778379,Shared room,,New York,Manhattan,East Harlem,26,4.5,1,1.0,,39.0,,Exactly What You Need!,Guesthouse,2017-07-15 21:21:39.496444,40.795189,-73.948388,0101000020E6100000CEFA9463B27C52C0C991CEC0C8654440
14967970,1438,73873175,Shared room,,New York,Brooklyn,Windsor Terrace,9,4.5,1,1.0,,35.0,,GREAT PLACE TO VACATION ON A LOW BUDGET,Apartment,2017-07-15 21:21:39.490195,40.659024,-73.98231,0101000020E61000002922C32ADE7E52C0BAA3FFE55A544440
16853882,1438,101970559,Shared room,,New York,Brooklyn,Clinton Hill,1,0.0,4,1.0,,29.0,,Bedford cozy shared room! 4,House,2017-07-15 21:21:39.487562,40.689779,-73.964036,0101000020E6100000AA0A0DC4B27D52C0DA3BA3AD4A584440
19267834,1438,124399442,Shared room,,New York,Brooklyn,Midwood,1,0.0,4,1.0,,32.0,,Rainbow Guesthouse,Guesthouse,2017-07-15 21:21:39.485486,40.613586,-73.959831,0101000020E6100000F7AB00DF6D7D52C048A46DFC894E4440
17786148,1438,73630173,Shared room,,New York,Brooklyn,Brownsville,14,5.0,1,1.0,,35.0,,Brooklyn's Loftbed,Apartment,2017-07-15 21:21:39.483545,40.67495,-73.90824,0101000020E6100000D23AAA9A207A52C0B537F8C264564440
17547527,1438,8327019,Shared room,,New York,Queens,East Elmhurst,16,4.0,1,1.0,,15.0,,NYC Private Share (Upper)Bunk Bed Room,Apartment,2017-07-15 21:21:39.481554,40.758083,-73.87046,0101000020E6100000791EDC9DB57752C0A8531EDD08614440
13278449,1438,74848094,Shared room,,New York,Manhattan,Harlem,32,5.0,2,1.0,,35.0,,Spacious Studio In Striver's Row,Apartment,2017-07-15 21:21:39.479533,40.8171,-73.944585,0101000020E6100000B3D2A414747C52C0E3C798BB96684440
19746533,1438,99874151,Shared room,,New York,Manhattan,East Harlem,0,0.0,1,1.0,,29.0,,Great Bed by Central Park,Guesthouse,2017-07-15 21:21:39.475618,40.791603,-73.950349,0101000020E610000053B29C84D27C52C02F35423F53654440
16972221,1438,33119567,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,0,0.0,1,1.0,,16.0,,Budget Bed B4,Apartment,2017-07-15 21:21:37.778603,40.686574,-73.953563,0101000020E61000003EEB1A2D077D52C0572426A8E1574440
15984822,1438,99778379,Shared room,,New York,Manhattan,East Harlem,22,4.0,1,1.0,,32.0,,Affordable & Clean Stay by Central Park,Guesthouse,2017-07-15 21:21:37.776522,40.795234,-73.947625,0101000020E6100000CFF753E3A57C52C069554B3ACA654440
6035534,1438,10877850,Shared room,,New York,Brooklyn,Williamsburg,70,4.5,1,1.0,,24.0,,"The Ladies Loft, The ""Times Sq"" bed",Loft,2017-07-15 21:21:37.772437,40.704976,-73.936482,0101000020E6100000BBD23252EF7B52C0823B50A73C5A4440
15529813,1438,99874151,Shared room,,New York,Manhattan,East Harlem,1,0.0,1,1.0,,37.0,,Splendid B&B in Beautiful Apartment,Apartment,2017-07-15 21:21:37.769872,40.797021,-73.947798,0101000020E6100000B64DF1B8A87C52C0D49CBCC804664440
15782857,1438,99778379,Shared room,,New York,Manhattan,East Harlem,28,4.5,1,1.0,,33.0,,Clean and safe stay by Central Park,Guesthouse,2017-07-15 21:21:37.766338,40.796521,-73.949134,0101000020E61000006361889CBE7C52C0E2C96E66F4654440
19475723,1438,8327019,Shared room,,New York,Queens,Jackson Heights,2,0.0,1,1.0,,18.0,,Rafaels NYC 911 Hallway-Airbed,Apartment,2017-07-15 21:21:37.764213,40.756361,-73.869319,0101000020E6100000A7B228ECA27752C0247CEF6FD0604440
16647213,1438,21156036,Shared room,,New York,Brooklyn,Williamsburg,24,4.5,1,1.0,,30.0,,Comfy couch in cool gallery,Other,2017-07-15 21:21:37.762117,40.714138,-73.936916,0101000020E610000058C6866EF67B52C0596ABDDF685B4440
6034467,1438,10877850,Shared room,,New York,Brooklyn,Williamsburg,74,4.5,1,1.0,,23.0,,"The Ladies Loft, The Upper Bunk",Loft,2017-07-15 21:21:37.753237,40.707037,-73.938034,0101000020E61000004F22C2BF087C52C0EE073C30805A4440
16910315,1438,33119567,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,5,5.0,1,1.0,,20.0,,Budget bed A3,Apartment,2017-07-15 21:21:37.750975,40.686,-73.952852,0101000020E6100000677BF486FB7C52C02B8716D9CE574440
8956096,1438,23038979,Shared room,,New York,Brooklyn,Cypress Hills,39,4.5,1,1.0,,20.0,,Serene Sleeping Pod # 2,House,2017-07-15 21:21:37.748274,40.686801,-73.871737,0101000020E6100000A46DFC89CA7752C018EE5C18E9574440
19599119,1438,8327019,Shared room,,New York,Queens,East Elmhurst,0,0.0,1,1.0,,23.0,,NYC World Traveles Private Share Bunk-Bed-Room,Apartment,2017-07-15 21:21:36.594987,40.757234,-73.870249,0101000020E61000001C98DC28B27752C0AAB5300BED604440
9021705,1438,23038979,Shared room,,New York,Brooklyn,Cypress Hills,41,4.5,1,1.0,,20.0,,Serene Sleeping Pod # 4,House,2017-07-15 21:21:36.592674,40.687486,-73.871308,0101000020E6100000902FA182C37752C09B3A8F8AFF574440
19718854,1438,99874151,Shared room,,New York,Manhattan,East Harlem,0,0.0,1,1.0,,35.0,,Cozy Clean Stay with Free Breakfast,Apartment,2017-07-15 21:21:36.589664,40.792203,-73.951702,0101000020E61000006B6281AFE87C52C084656CE866654440
13952443,1438,5019082,Shared room,,New York,Queens,Woodside,29,4.5,1,1.0,,35.0,,Namaste - Quiet & Comfortable,Apartment,2017-07-15 21:21:36.587113,40.741705,-73.905896,0101000020E6100000F1643733FA7952C0CD237F30F05E4440
15813866,1438,27260699,Shared room,,New York,Brooklyn,Bushwick,5,5.0,1,1.0,,25.0,,LADIES ONLY! Bushwick Cozy & Cute Shared Room (A),House,2017-07-15 21:21:36.584543,40.693823,-73.909251,0101000020E6100000BD361B2B317A52C0371B2B31CF584440
18898808,1438,50600973,Shared room,,New York,Brooklyn,Bushwick,3,5.0,1,1.0,,32.0,,BK's Finest Jack&Jill ShareClose To Transportation,Apartment,2017-07-15 21:21:36.576056,40.696736,-73.929724,0101000020E61000009A931799807B52C012F92EA52E594440
19271806,1438,121225315,Shared room,,New York,Queens,Sunnyside,4,5.0,1,1.0,,21.0,,Queens NYC,Apartment,2017-07-15 21:21:36.573478,40.744569,-73.913163,0101000020E6100000B43A3943717A52C0C64E78094E5F4440
